Type,Status,Committee,prime_sponsor,processed_text,joined_text
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zmq', 'zoning', 'map']",modifications decision planning ulurp zmq zoning map
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['lots', 'lots', 'community']",lots lots community
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['g', 'scr', 'approximately', 'early', 'childhood', 'center', 'school', 'construction', 'authority', 'concerning', 'proposed', 'site', 'selection', 'approximately', 'early', 'childhood', 'center', 'facility', 'virginia', 'avenue', 'lots', 'community', 'community', 'school']",g scr approximately early childhood center school construction authority concerning proposed site selection approximately early childhood center facility virginia avenue lots community community school
Land Use Call-Up,Adopted,City Council,"Rafael Salamanca, Jr.","['use', 'member', 'salamanca', 'sections', 'rules', 'b', 'hereby', 'resolves', 'actions', 'planning', 'nos', 'zsk', 'zsk', 'innovative', 'urban', 'village', 'eny', 'ccc', 'shall', 'subject', 'review', 'items', 'related', 'nos', 'zmk', 'zrk']",use member salamanca sections rules b hereby resolves actions planning nos zsk zsk innovative urban village eny ccc shall subject review items related nos zmk zrk
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zsk', 'innovative', 'urban', 'village', 'eny', 'ccc', 'innovative', 'urban', 'living', 'llc', 'sections', 'grant', 'special', 'permit', 'zoning', 'allow', 'unattended', 'parking', 'garage', 'maximum', 'capacity', 'spaces', 'within', 'proposed', 'garage', 'building', 'permit', 'spaces', 'roof', 'parking', 'garage', 'connection', 'proposed', 'development', 'flatlands', 'avenue']",zsk innovative urban village eny ccc innovative urban living llc sections grant special permit zoning allow unattended parking garage maximum capacity spaces within proposed garage building permit spaces roof parking garage connection proposed development flatlands avenue
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zsk', 'innovative', 'urban', 'village', 'eny', 'ccc', 'innovative', 'urban', 'living', 'llc', 'sections', 'grant', 'special', 'permit', 'following', 'sections', 'zoning', 'zoning', 'modify', 'side', 'rear', 'yard', 'regulations', 'yard', 'regulations', 'additional', 'yard', 'regulations', 'special', 'pprovisions', 'rear', 'yards', 'modification', 'yard', 'regulations', 'height', 'setback', 'requirements', 'sections']",zsk innovative urban village eny ccc innovative urban living llc sections grant special permit following sections zoning zoning modify side rear yard regulations yard regulations additional yard regulations special pprovisions rear yards modification yard regulations height setback requirements sections
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['concerning', 'increase', 'annual', 'expenditure', 'street', 'dumbo', 'business', 'improvement', 'districts', 'setting', 'date', 'time', 'place', 'hearing', 'increasing', 'annual', 'expenditure', 'districts']",concerning increase annual expenditure street dumbo business improvement districts setting date time place hearing increasing annual expenditure districts
Introduction,Enacted,Committee on Finance,Justin L. Brannan,"['authorizing', 'increase', 'amount', 'expended', 'annually', 'two', 'business', 'improvement', 'districts']",authorizing increase amount expended annually two business improvement districts
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['amended', 'project', 'urban', 'development', 'action', 'area', 'project', 'article', 'general', 'municipal', 'community', 'g', 'nuk']",amended project urban development action area project article general municipal community g nuk
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['tax', 'article', 'xi', 'private', 'housing', 'finance', 'lots', 'community', 'districts', 'g', 'xax']",tax article xi private housing finance lots community districts g xax
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['urban', 'development', 'action', 'area', 'project', 'tax', 'request', 'article', 'general', 'municipal', 'third', 'avenue', 'chisholm', 'street', 'chisholm', 'street', 'chisholm', 'street', 'east', 'street', 'findlay', 'avenue', 'east', 'street', 'waiving', 'urban', 'development', 'action', 'area', 'designation', 'requirement', 'uniform', 'use']",urban development action area project tax request article general municipal third avenue chisholm street chisholm street chisholm street east street findlay avenue east street waiving urban development action area designation requirement uniform use
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['tax', 'article', 'xi', 'private', 'housing', 'finance', 'termination', 'prior', 'tax', 'community', 'districts', 'g', 'xax']",tax article xi private housing finance termination prior tax community districts g xax
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['housing', 'preservation', 'development', 'decision', 'planning', 'ulurp', 'hax', 'designation', 'urban', 'development', 'action', 'area', 'urban', 'development', 'action', 'area', 'project', 'disposition', 'west', 'street', 'popham', 'avenue', 'community', 'developer', 'selected', 'hpd', 'h']",housing preservation development decision planning ulurp hax designation urban development action area urban development action area project disposition west street popham avenue community developer selected hpd h
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['tax', 'article', 'xi', 'private', 'housing', 'finance', 'lots', 'community', 'g', 'xax']",tax article xi private housing finance lots community g xax
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['housing', 'preservation', 'development', 'decision', 'planning', 'ulurp', 'hax', 'designation', 'urban', 'development', 'action', 'area', 'urban', 'development', 'action', 'area', 'project', 'disposition', 'chisholm', 'street', 'lots', 'community', 'developer', 'selected', 'hpd', 'h']",housing preservation development decision planning ulurp hax designation urban development action area urban development action area project disposition chisholm street lots community developer selected hpd h
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['fourth', 'fresh', 'creek', 'renewal', 'plan', 'fresh', 'creek', 'urban', 'renewal', 'area', 'fcura', 'decision', 'planning', 'ulurp', 'huk']",fourth fresh creek renewal plan fresh creek urban renewal area fcura decision planning ulurp huk
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['housing', 'preservation', 'development', 'decision', 'planning', 'ulurp', 'hak', 'designation', 'urban', 'development', 'action', 'area', 'urban', 'development', 'action', 'area', 'project', 'disposition', 'erskine', 'street', 'community', 'developer', 'selected', 'hpd', 'h']",housing preservation development decision planning ulurp hak designation urban development action area urban development action area project disposition erskine street community developer selected hpd h
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zsk', 'grant', 'special', 'permit']",modifications decision planning ulurp zsk grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrk', 'text', 'zoning']",modifications decision planning zrk text zoning
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zmk', 'zoning', 'map']",modifications decision planning ulurp zmk zoning map
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zmq', 'zoning', 'map']",modifications decision planning ulurp zmq zoning map
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['designation', 'changes', 'designation', 'organizations', 'receive', 'funding', 'expense', 'budget']",designation changes designation organizations receive funding expense budget
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zrk', 'innovative', 'urban', 'village', 'eny', 'ccc', 'innovative', 'urban', 'living', 'llc', 'zoning', 'zoning', 'modifying', 'appendix', 'f', 'purpose', 'mandatory', 'inclusionary', 'housing', 'area', 'modifying', 'appendix', 'purpose', 'expanding', 'transit', 'zone', 'community']",zrk innovative urban village eny ccc innovative urban living llc zoning zoning modifying appendix f purpose mandatory inclusionary housing area modifying appendix purpose expanding transit zone community
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zmk', 'innovative', 'urban', 'village', 'eny', 'ccc', 'innovative', 'urban', 'living', 'llc', 'sections', 'zoning', 'map', 'changing', 'within', 'proposed', 'community']",zmk innovative urban village eny ccc innovative urban living llc sections zoning map changing within proposed community
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zrk', 'bergen', 'street', 'rezoning', 'gen', 'llc', 'zoning', 'modifying', 'appendix', 'f', 'purpose', 'mandatory', 'inclusionary', 'housing', 'area', 'community']",zrk bergen street rezoning gen llc zoning modifying appendix f purpose mandatory inclusionary housing area community
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zmk', 'bergen', 'street', 'rezoning', 'gen', 'llc', 'sections', 'zoning', 'map', 'changing', 'changing', 'within', 'proposed', 'community']",zmk bergen street rezoning gen llc sections zoning map changing changing within proposed community
Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zrk', 'mcdonald', 'avenue', 'rezoning', 'development', 'llc', 'zoning', 'modifying', 'appendix', 'f', 'purpose', 'mandatory', 'inclusionary', 'housing', 'area', 'community']",zrk mcdonald avenue rezoning development llc zoning modifying appendix f purpose mandatory inclusionary housing area community
Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zmk', 'mcdonald', 'avenue', 'rezoning', 'development', 'llc', 'sections', 'zoning', 'map', 'eliminating', 'within', 'existing', 'changing', 'community']",zmk mcdonald avenue rezoning development llc sections zoning map eliminating within existing changing community
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['zrk', 'housing', 'preservation', 'development', 'hpd', 'zoning', 'modifying', 'appendix', 'f', 'purpose', 'mandatory', 'inclusionary', 'housing', 'area', 'community']",zrk housing preservation development hpd zoning modifying appendix f purpose mandatory inclusionary housing area community
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['zmk', 'housing', 'preservation', 'development', 'hpd', 'sections', 'zoning', 'map', 'nos', 'changing', 'within', 'proposed', 'community']",zmk housing preservation development hpd sections zoning map nos changing within proposed community
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['huk', 'housing', 'preservation', 'development', 'hpd', 'article', 'general', 'municipal', 'urban', 'renewal', 'fourth', 'brownsville', 'ii', 'urban', 'renewal', 'plan', 'community']",huk housing preservation development hpd article general municipal urban renewal fourth brownsville ii urban renewal plan community
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['hak', 'housing', 'preservation', 'development', 'hpd', 'article', 'general', 'municipal', 'designation', 'urban', 'development', 'action', 'area', 'urban', 'development', 'action', 'area', 'project', 'livonia', 'avenue', 'christopher', 'avenue', 'mother', 'gaston', 'boulevard', 'lots', 'livonia', 'avenue', 'sackman', 'street', 'christopher', 'avenue', 'lots', 'livonia', 'avenue', 'powell', 'stre']",hak housing preservation development hpd article general municipal designation urban development action area urban development action area project livonia avenue christopher avenue mother gaston boulevard lots livonia avenue sackman street christopher avenue lots livonia avenue powell stre
Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.","['g', 'nuk', 'gateway', 'housing', 'preservation', 'development', 'article', 'general', 'municipal', 'previously', 'approved', 'april', 'relating', 'including', 'community']",g nuk gateway housing preservation development article general municipal previously approved april relating including community
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zsq', 'innovation', 'rezoning', 'lsgd', 'kaufman', 'astoria', 'bedrock', 'llc', 'silverstein', 'astoria', 'member', 'llc', 'sections', 'grant', 'special', 'permit', 'zoning', 'allow', 'large', 'retail', 'establishments', 'use', 'group', 'use', 'group', 'uses', 'limitation', 'floor', 'area', 'per', 'establishment', 'connection', 'proposed', 'development', 'generally', 'bounded', 'avenue', 'line', 'feet', 'southeasterly', 'street', 'line', 'feet']",zsq innovation rezoning lsgd kaufman astoria bedrock llc silverstein astoria member llc sections grant special permit zoning allow large retail establishments use group use group uses limitation floor area per establishment connection proposed development generally bounded avenue line feet southeasterly street line feet
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zsq', 'innovation', 'rezoning', 'lsgd', 'kaufman', 'astoria', 'bedrock', 'llc', 'silverstein', 'astoria', 'member', 'llc', 'sections', 'grant', 'special', 'permit', 'zoning', 'allow', 'large', 'retail', 'establishments', 'use', 'group', 'use', 'group', 'uses', 'limitation', 'floor', 'area', 'per', 'establishment', 'connection', 'proposed', 'development', 'generally', 'bounded', 'avenue', 'street', 'line', 'feet', 'southwesterly', 'avenue', 'l']",zsq innovation rezoning lsgd kaufman astoria bedrock llc silverstein astoria member llc sections grant special permit zoning allow large retail establishments use group use group uses limitation floor area per establishment connection proposed development generally bounded avenue street line feet southwesterly avenue l
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zsq', 'innovation', 'rezoning', 'lsgd', 'kaufman', 'astoria', 'bedrock', 'llc', 'silverstein', 'astoria', 'member', 'llc', 'sections', 'grant', 'special', 'permit', 'zoning', 'allow', 'large', 'retail', 'establishments', 'use', 'group', 'use', 'group', 'uses', 'limitation', 'floor', 'area', 'per', 'establishment', 'connection', 'proposed', 'development', 'bounded', 'avenue', 'steinway', 'street', 'line', 'feet', 'northeasterly', 'avenue']",zsq innovation rezoning lsgd kaufman astoria bedrock llc silverstein astoria member llc sections grant special permit zoning allow large retail establishments use group use group uses limitation floor area per establishment connection proposed development bounded avenue steinway street line feet northeasterly avenue
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zsq', 'innovation', 'rezoning', 'lsgd', 'kaufman', 'astoria', 'bedrock', 'llc', 'silverstein', 'astoria', 'member', 'llc', 'sections', 'grant', 'special', 'permit', 'b', 'zoning', 'allow', 'reduction', 'loading', 'berth', 'requirements', 'sections', 'required', 'accessory', 'loading', 'berths', 'parking', 'loading', 'within', 'general', 'development', 'generally', 'bounded', 'avenue', 'steinway', 'street', 'line', 'feet', 'southwesterly', 'avenue', 'line']",zsq innovation rezoning lsgd kaufman astoria bedrock llc silverstein astoria member llc sections grant special permit b zoning allow reduction loading berth requirements sections required accessory loading berths parking loading within general development generally bounded avenue steinway street line feet southwesterly avenue line
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zsq', 'innovation', 'rezoning', 'lsgd', 'kaufman', 'astoria', 'bedrock', 'llc', 'silverstein', 'astoria', 'member', 'llc', 'sections', 'grant', 'special', 'permit', 'zoning', 'subject', 'provisions', 'paragraphs', 'special', 'provisions', 'bulk', 'modification', 'modify', 'signage', 'regulations', 'regulations', 'regulations', 'connection', 'proposed', 'development']",zsq innovation rezoning lsgd kaufman astoria bedrock llc silverstein astoria member llc sections grant special permit zoning subject provisions paragraphs special provisions bulk modification modify signage regulations regulations regulations connection proposed development
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zsq', 'innovation', 'rezoning', 'lsgd', 'kaufman', 'astoria', 'bedrock', 'llc', 'silverstein', 'astoria', 'member', 'llc', 'sections', 'grant', 'special', 'permits', 'following', 'sections', 'zoning', 'allow', 'distribution', 'total', 'allowable', 'floor', 'area', 'without', 'regard', 'zoning', 'lines', 'boundaries', 'modify', 'rear', 'yard', 'regulations', 'sections', 'yard', 'regulations', 'yard', 'regulations', 'special']",zsq innovation rezoning lsgd kaufman astoria bedrock llc silverstein astoria member llc sections grant special permits following sections zoning allow distribution total allowable floor area without regard zoning lines boundaries modify rear yard regulations sections yard regulations yard regulations special
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zsq', 'innovation', 'rezoning', 'lsgd', 'kaufman', 'astoria', 'bedrock', 'llc', 'silverstein', 'astoria', 'member', 'llc', 'sections', 'grant', 'special', 'permit', 'zoning', 'allow', 'required', 'permitted', 'accessory', 'parking', 'spaces', 'anywhere', 'within', 'general', 'development', 'without', 'regard', 'zoning', 'lines', 'connection', 'proposed', 'development', 'within', 'general', 'development', 'generally', 'bounded', 'avenue']",zsq innovation rezoning lsgd kaufman astoria bedrock llc silverstein astoria member llc sections grant special permit zoning allow required permitted accessory parking spaces anywhere within general development without regard zoning lines connection proposed development within general development generally bounded avenue
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zrq', 'innovation', 'rezoning', 'lsgd', 'kaufman', 'astoria', 'bedrock', 'llc', 'silverstein', 'astoria', 'member', 'llc', 'zoning', 'modifying', 'article', 'vii', 'chapter', 'general', 'development', 'loading', 'regulations', 'article', 'xii', 'chapter', 'special', 'mixed', 'use', 'purpose', 'special', 'mixed', 'use', 'appendix', 'f', 'purpose', 'mandatory', 'inclusionary', 'housing', 'area', 'community']",zrq innovation rezoning lsgd kaufman astoria bedrock llc silverstein astoria member llc zoning modifying article vii chapter general development loading regulations article xii chapter special mixed use purpose special mixed use appendix f purpose mandatory inclusionary housing area community
Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.","['zmq', 'innovation', 'rezoning', 'lsgd', 'kaufman', 'astoria', 'bedrock', 'llc', 'silverstein', 'astoria', 'member', 'llc', 'sections', 'zoning', 'map', 'changing', 'changing', 'changing', 'changing', 'changing', 'special', 'mixed', 'use']",zmq innovation rezoning lsgd kaufman astoria bedrock llc silverstein astoria member llc sections zoning map changing changing changing changing changing special mixed use
Land Use Call-Up,Adopted,City Council,"Rafael Salamanca, Jr.","['use', 'member', 'salamanca', 'sections', 'rules', 'b', 'hereby', 'resolves', 'actions', 'planning', 'nos', 'zsq', 'zsq', 'zsq', 'zsq', 'zsq', 'zsq', 'zsq', 'innovation', 'rezoning', 'lsgd', 'shall', 'subject', 'review', 'items', 'related', 'nos', 'zmq', 'zrq']",use member salamanca sections rules b hereby resolves actions planning nos zsq zsq zsq zsq zsq zsq zsq innovation rezoning lsgd shall subject review items related nos zmq zrq
Introduction,Withdrawn,Committee on Transportation and Infrastructure,Erik D. Bottcher,"['newsrack', 'requirements', 'repeal', 'replace', 'subdivision']",newsrack requirements repeal replace subdivision
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrq', 'text', 'zoning']",modifications decision planning zrq text zoning
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zmq', 'zoning', 'map']",decision planning ulurp zmq zoning map
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zmq', 'zoning', 'map']",decision planning ulurp zmq zoning map
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['affirming', 'designation', 'landmarks', 'preservation', 'cambria', 'street', 'historic', 'designation', 'list', 'hkq']",affirming designation landmarks preservation cambria street historic designation list hkq
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['tax', 'article', 'xi', 'private', 'housing', 'finance', 'g', 'xam']",tax article xi private housing finance g xam
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['housing', 'preservation', 'development', 'decision', 'planning', 'ulurp', 'ham', 'designation', 'urban', 'development', 'action', 'area', 'urban', 'development', 'action', 'area', 'project', 'disposition', 'avenue', 'community', 'developer', 'selected', 'hpd', 'h']",housing preservation development decision planning ulurp ham designation urban development action area urban development action area project disposition avenue community developer selected hpd h
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zsm', 'grant', 'special', 'permit']",decision planning ulurp zsm grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zsm', 'grant', 'special', 'permit']",decision planning ulurp zsm grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'zrx', 'text', 'zoning']",decision planning zrx text zoning
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zmx', 'zoning', 'map']",decision planning ulurp zmx zoning map
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrk', 'text', 'zoning']",modifications decision planning zrk text zoning
