File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
Res 0425-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 1539, Lot 10) Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 149)."
T2022-2606,,Oversight,Filed,Committee on Governmental Operations,,0,Oversight - New York City’s Campaign Finance Program in the 2021 Citywide Election
LU 0153-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"CB WHCO: Block 1831, Lot 53, Manhattan, Community District No. 10, Council District No. 9."
LU 0152-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"157 West 119 St: Block 1904, Lot 6, Manhattan, Community District No. 10, Council District No. 9."
T2022-2600,,Oversight,Filed,Committee on General Welfare,,0,Oversight - Timeliness of Public Benefits Processing at the Human Resources Administration.
T2022-2599,,Oversight,Filed,Committee on Public Safety,,0,Oversight - Public Safety in the Subway System
T2022-2598,,Oversight,Filed,Committee on Transportation and Infrastructure,,0,Oversight - Public Safety in the Subway System
LU 0151-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Briarwood-Black Spruce, Block 9663, Lots 2 and 20, Queens, Community District No. 8, Council District No. 24."
T2022-2575,,Oversight,Filed,Committee on Public Housing,,0,Oversight - Winter Preparedness Across NYCHA Developments
LU 0150-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Sherwood LLC.HUDMF.FY23, Block 1909, Lot 1; Block 1956, Lot 29, Queens, Community District No. 4, Council District No. 21."
LU 0149-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Yorkville Gardens, Block 1539, Lot 10, Manhattan, Community District No. 8, Council District No. 5."
T2022-2553,,Oversight,Filed,Committee on Finance,,0,Oversight – Mayor’s November Financial 
Res 0398-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2396, Lots 21, 24, 25, 26, and 27; Block 2409, Lots 8, 9, 11, 15, and 27; Block 2420, Lot 41; Block 2434, Lot 8) Brooklyn, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 147)."
M 0103-2022,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Comptroller - Submitting the Comprehensive Annual Financial Report of the Comptroller of The City of New York for the Fiscal Years Ended June 30, 2022 and 2021."
Res 0388-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
Res 0405-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the site plan for a new, approximately 252-Seat Early Childhood Center, located at 1 Virginia Avenue, at the southwest corner of the intersection of Bay Street and Virginia Avenue (Block 2847, Lot 84, 85, 86) and the intersection of Bay Street and Virginia Avenue on the east side of Virginia Avenue (Block 2848, Lot 34), Community District 1, Community School District No. 31, Borough of Staten Island (Non-ULURP No. G 220024 SCR; Preconsidered L.U. No. 148)."
Res 0404-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 220314 ZSK, for the grant of a special permit (L.U. No. 146)."
Res 0403-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 220311 ZSK, for the grant of a special permit (L.U. No. 145)."
Res 0438-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 220189 ZRK, for an amendment of the text of the Zoning Resolution (L.U. No. 144)."
Res 0437-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 210188 ZMK, a Zoning Map amendment (L.U. No. 143)."
Res 0402-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on Application No. N 220313 ZRK, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 142)."
Res 0401-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 220312 ZMK, a Zoning Map amendment (Preconsidered L.U. No. 141)."
Res 0400-2022,,Resolution,Filed,Committee on Land Use,"Rafael Salamanca, Jr.",1,"Application number N 210231 ZRK (1571 McDonald Avenue Rezoning) submitted by 1571 Development, LLC, pursuant to Section 201 of the New York City Charter, for an amendment to the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Brooklyn, Community District 12, Council District 44."
Res 0399-2022,,Resolution,Filed,Committee on Land Use,"Rafael Salamanca, Jr.",1,"Application number C 210230 ZMK (1571 McDonald Avenue Rezoning) submitted by 1571 Development, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 22d, eliminating from within an existing R5 District a C2-3 District and changing from an R5 District to an C4-4L District, Borough of Brooklyn, Community District 12, Council District 44."
Res 0436-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 220430 ZRK, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 138)."
Res 0435-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 220429 ZMK, a Zoning Map amendment (Preconsidered L.U. No. 137)."
Res 0434-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,Resolution approving the Fourth Amendment to the Brownsville II Urban Renewal Plan and approving the decision of the City Planning Commission on ULURP No. C 220428 HUK (Preconsidered L.U. No. 136).
Res 0433-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the application submitted by the New York City Department of Housing Preservation and Development (“HPD”) and the decision of the City Planning Commission, ULURP No. C 220427 HAK, approving the designation of an Urban Development Action Area, an Urban Development Action Area Project, and the disposition of city-owned property located at Livonia Avenue between Christopher Avenue and Mother Gaston Boulevard (Block 3811, Lots 17, 18, 19, 21, 23, 24, 25, 26, 27, and 124); Livonia Avenue between Sackman Street and Christopher Avenue (Block 3812, Lots 19, 20, 21, 22, and 121"
Res 0414-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220374 ZSQ, for the grant of a special permit (L.U. No. 134)."
Res 0413-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220373 ZSQ, for the grant of a special permit (L.U. No. 133)."
Res 0412-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220371 ZSQ, for the grant of a special permit (L.U. No. 132)."
Res 0411-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220369 ZSQ, for the grant of a special permit (L.U. No. 131)."
Res 0410-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220368 ZSQ, for the grant of a special permit (L.U. No. 130)."
Res 0409-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220366 ZSQ, for the grant of a special permit (L.U. No. 129)."
Res 0408-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220365 ZSQ, for the grant of a special permit (L.U. No. 128)."
Res 0407-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 220367 ZRQ, for an amendment of the text of the Zoning Resolution (L.U. No. 127)."
Res 0406-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220364 ZMQ, a Zoning Map amendment (L.U. No. 126)."
T2022-2464,,Oversight,Filed,Committee of the Whole,,0,Oversight - Examining the City’s Response and Delivery of Services to Migrants. 10:00 a.m - PUBLIC TESTIMO
T2022-2463,,Oversight,Filed,Committee of the Whole,,0,Oversight - Examining the City’s Response and Delivery of Services to Migrants. 10:00 a.m. – 12:00 p.m. Mayor’s Office of Immigrant Affairs New York City Emergency Management Mayor’s Office of Contracts Health + Hospitals 12:00 p.m. – 1:00 p.m. Health + Hospitals Department of Health and Mental Hygiene 1;00 p.m. - 2:30 p.m. Department of Social Services Department of Youth and Community Development 2:30 p.m. – 4:00 p.m. Department 
T2022-2462,,Oversight,Filed,Committee on Technology,,0,Oversight - New York City Fire Department's Emergency Dispatch System.
T2022-2461,,Oversight,Filed,Committee on Fire and Emergency Management,,0,Oversight - New York City Fire Department's Emergency Dispatch System.
M 0102-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor – Submitting the name of James Van Bramer to the Council for its advice and consent regarding his appointment to the New York City Public Design Commission, pursuant to Sections 31 and 851 of the City Charte"
M 0101-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor – Submitting the name of Isabel Castilla to the Council for its advice and consent regarding her appointment to the New York City Public Design Commission, pursuant to Sections 31 and 851 of the City Charte"
T2022-2453,,Oversight,Filed,Committee on State and Federal Legislation,,0,Oversight - New York City Heliport Operations
LU 0147-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Block 2396, Lots 21, 24, 25, 26, and 27; Block 2409, Lots 8, 9, 11, 15, and 27; Block 2420, Lot 41; Block 2434, Lot 8, Brooklyn, Community District No. 1, Council District No. 34"
T2022-2415,,Oversight,Filed,Committee on Housing and Buildings,,0,Oversight - Examining the City’s Tools for Enforcing the Housing Maintenance Cod
T2022-2438,,Oversight,Filed,Committee on Parks and Recreation,,0,Oversight - Improving the Efficiency of Parks Capital Projects.
T2022-2433,,Oversight,Filed,Committee on Environmental Protection,,0,"Oversight - New York City's air quality, and its effects on public health."
LU 0148-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number G 220024 SCR (Approximately 252-Seat Early Childhood Center) pursuant to Section 1732 of the New York School Construction Authority Act, concerning the proposed site selection for a new, approximately 252-seat Early Childhood Center facility, located at 1 Virginia Avenue (Block 2847, Lots 84, 85 and 86 & Block 2848 Lot 34), Borough of Staten Island, Community District 1, Council District 49, Community School District 31."
T2022-2314,,Oversight,Filed,Committee on Education,,0,Oversight - NYC Department of Education’s Spending of Federal COVID-19 Relief Fund
T2022-2403,,Oversight,Filed,Committee on Economic Development,,0,Oversight - New York City Heliport Operations
T2022-2402,,Oversight,Filed,Committee on Oversight and Investigations,,0,Oversight - School Bus Transportation Services
T2022-2401,,Oversight,Filed,Committee on Education,,0,Oversight - School Bus Transportation Services
T2022-2400,,Oversight,Filed,Committee on Resiliency and Waterfronts,,0,Oversight - The Billion Oyster Project and Nature-based Solutions
T2022-2397,,Oversight,Filed,Committee on Civil and Human Rights,,0,Oversight - Fair Chance Housing.
T2022-2296,,Oversight,Filed,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",,0,"Oversight - Equity, Civic Engagement, and the Role of Libraries."
T2022-2392,,Oversight,Filed,Committee on Civil and Human Rights,,0,Oversight - Coerced Debt
T2022-2391,,Oversight,Filed,Committee on Women and Gender Equity,,0,Oversight - Coerced Debt
T2022-2380,,Oversight,Filed,Subcommittee on Senior Centers and Food Insecurity,,0,Oversight - Food Insecurity And Older Adult Centers
T2022-2379,,Oversight,Filed,Committee on Aging,,0,Oversight - Food Insecurity And Older Adult Centers
T2022-2378,,Oversight,Filed,Committee on Hospitals,,0,Oversight - State of Nursing in NYC – Staffing and Retenti
T2022-2373,,Oversight,Filed,Committee on Criminal Justice,,0,Oversight - Nunez Compliance: DOC’s Action Plan Progress Upda
T2022-2371,,Oversight,Filed,Committee on Sanitation and Solid Waste Management,,0,Oversight - The Future of the City’s Sanitation Fleet and DSNY’s 2022-2023 Snow P
T2022-2358,,Oversight,Filed,Committee on Civil Service and Labor,,0,Oversight - Support for New York City Worker Unionization Drives.
M 0100-2022,,Land Use Call-Up,Adopted,City Council,"Rafael Salamanca, Jr.",1,"By The Chair of the Land Use Committee (Council Member Salamanca) Pursuant to Sections 11.20(b-d) of the Council Rules and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the actions of the City Planning Commission on Application Nos. C 220311 ZSK and C 220314 ZSK (Innovative Urban Village (ENY CCC)) shall be subject to Council review. These items are related to Application Nos. C 220312 ZMK and N 220313 ZRK."
LU 0146-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220314 ZSK (Innovative Urban Village (ENY CCC)) submitted by Innovative Urban Living, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-512 of the Zoning Resolution to allow an unattended public parking garage with a maximum capacity of 500 spaces within a proposed 7-story garage building, and to permit some of such spaces to be located on the roof of such public parking garage, in connection with a proposed mixed-use development, on property located at 12020 Flatlands Avenue (Block 4430, Lot 1, an"
LU 0145-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220311 ZSK (Innovative Urban Village (ENY CCC)) submitted by Innovative Urban Living, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to the following Sections of the Zoning Resolution Section 74-743(a)(2) of Zoning Resolution to modify the side and rear yard regulations of Section 23-40 (YARD REGULATIONS), Section 23-50 (Additional Yard Regulations), Section 33-30 (OTHER SPECIAL PPROVISIONS FOR REAR YARDS), and 35-50 (MODIFICATION OF YARD REGULATIONS); the height and setback requirements of Sections 23-66 (He"
Res 0362-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,4,"Resolution concerning the increase in the annual expenditure for the 125th Street and DUMBO Business Improvement Districts and the setting of the date, time and place for the hearing of the local law increasing the annual expenditure for such districts."
Int 0789-2022,2022/126,Introduction,Enacted,Committee on Finance,Justin L. Brannan,4,"A Local Law to amend the administrative code of the city of New York, in relation to authorizing an increase in the amount to be expended annually in two business improvement districts."
T2022-2360,,Oversight,Filed,Committee on Finance,,0,Oversight - New York City’s Spending of Federal Covid-19 Relief Fund
T2022-2359,,Oversight,Filed,Committee on Oversight and Investigations,,0,Oversight - New York City’s Spending of Federal Covid-19 Relief Fund
Res 0377-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving an Amended Project as an Urban Development Action Area Project pursuant to Article 16 of the General Municipal Law, for property located at Block 4444, p/o Lot 1; Block 4445, p/o Lot 1; Block 4446, p/o Lot 1; Block 4448, Lot 1; and Block 4452, p/o Lot 170, Borough of Brooklyn, Community District 5 (L.U. No. 125; G 220023 NUK)."
Res 0376-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving a tax exemption pursuant to Article XI of the Private Housing Finance Law for property located at Block 2370, Lot 143; Block 2782, Lot 13; Block 2971, Lots 35, 38, and 39; Block 4897, Lot 63, Community Districts 3, 4, and 12, Borough of the Bronx (L.U. No. 124; Non-ULURP No. G 220021 XAX)."
Res 0375-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving an Urban Development Action Area Project and real property tax exemption request pursuant to Article 16 of the General Municipal Law for property located at 3341 Third Avenue (Block 2370, Lot 143), 1325 Chisholm Street (Block 2971, Lot 35), 1319A Chisholm Street (Block 2971, Lot 38), 1319 Chisholm Street (Block 2971, Lot 39), 1234 East 223rd Street (Block 4897, Lot 63), 1316 Findlay Avenue (Block 2782, Lot 13), and 294 East 164th Street (Block 2423, Lot 33), Borough of the Bronx; and waiving the urban development action area designation requirement and the Uniform Land Use"
Res 0374-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving a new tax exemption pursuant to Article XI of the Private Housing Finance Law and termination of the prior tax exemption for property located at Block 2762, Lot 89; Block 2877, Lot 278; Block 3195, Lot 21; and Block 3225, Lot 77; , Community Districts 2, 5, and 7, Borough of the Bronx, (L.U. No. 122; Non-ULURP No. G 220019 XAX)."
Res 0373-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the application submitted by the New York City Department of Housing Preservation and Development (“HPD”) and the decision of the City Planning Commission, ULURP No. C 220381 HAX, approving the designation of an Urban Development Action Area, an Urban Development Action Area Project, and the disposition of city-owned property located at 30 West 182nd Street (Block 3195, Lot 21) and 1647 Popham Avenue (Block 2877, Lot 278), Borough of the Bronx, Community District 5, to a developer selected by HPD (L.U. No. 121; C 220381 H"
Res 0372-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving a tax exemption pursuant to Article XI of the Private Housing Finance Law for property located at Block 2972, Lots 15 and 16, Community District 3, Borough of the Bronx (L.U. No. 120; Non-ULURP No. G 220020 XAX)."
Res 0371-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the application submitted by the New York City Department of Housing Preservation and Development (“HPD”) and the decision of the City Planning Commission, ULURP No. C 220380 HAX, approving the designation of an Urban Development Action Area, an Urban Development Action Area Project, and the disposition of city-owned property located at 1312-1314 Chisholm Street (Block 2972, Lots 15 and 16), Borough of the Bronx, Community District 3, to a developer selected by HPD (L.U. No. 119; C 220380 H"
Res 0370-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,Resolution approving the Fourth Amendment to the Fresh Creek Renewal Plan for the Fresh Creek Urban Renewal Area (FCURA) and approving the decision of the City Planning Commission on ULURP No. C 220406 HUK (Preconsidered L.U. No. 114).
Res 0369-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the application submitted by the New York City Department of Housing Preservation and Development (“HPD”) and the decision of the City Planning Commission, ULURP No. C 220405 HAK, approving the designation of an Urban Development Action Area, an Urban Development Action Area Project, and the disposition of city-owned property located at Erskine Street (Block 4586, p/o Lot 1), Borough of Brooklyn, Community District 5, to a developer selected by HPD (Preconsidered L.U. No. 113; C 220405 H"
Res 0380-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 210350 ZSK, for the grant of a special permit (L.U. No. 112)."
Res 0379-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 210349 ZRK, for an amendment of the text of the Zoning Resolution (L.U. No. 111)."
Res 0378-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 210348 ZMK, a Zoning Map amendment (L.U. No. 110)."
Res 0356-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220414 ZMQ, a Zoning Map amendment (Preconsidered L.U. No. 116)."
Res 0363-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,2,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
LU 0142-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220313 ZRK (Innovative Urban Village (ENY CCC)) submitted by Innovative Urban Living, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, for an amendment of the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area and modifying APPENDIX I for the purpose of expanding the Transit Zone, Borough of Brooklyn, Community District 5, Council District 42."
LU 0141-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220312 ZMK (Innovative Urban Village (ENY CCC)) submitted by Innovative Urban Living, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 17d, changing from an R5 District to an R7-2 District and establishing within the proposed R7-2 District a C2-4 District, Borough of Brooklyn, Community District 5, Council District 42."
T2022-2313,,Oversight,Filed,Committee on Youth Services,,0,Oversight - Accessing Mental Health Services for NYC Youth.
T2022-2312,,Oversight,Filed,"Committee on Mental Health, Disabilities and Addiction",,0,Oversight - Accessing Mental Health Services for NYC Youth.
LU 0144-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220189 ZRK (280 Bergen Street Rezoning) submitted by BNW3 Re Gen, LLC, pursuant to Section 201 of the New York City Charter for an amendment to the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Brooklyn, Community District 2, Council District 33."
LU 0143-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220188 ZMK (280 Bergen Street Rezoning) submitted by BNW3 Re Gen, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 16c, changing an M1-2 District to an R7A District, changing an M1-2 District to an R7D District and establishing within the proposed R7D District a C2-4 District, Borough of Brooklyn, Community District 2, Council District 33."
LU 0140-2022,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 210231 ZRK (1571 McDonald Avenue Rezoning) submitted by 1571 Development, LLC, pursuant to Section 201 of the New York City Charter, for an amendment to the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Brooklyn, Community District 12, Council District 44."
LU 0139-2022,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 210230 ZMK (1571 McDonald Avenue Rezoning) submitted by 1571 Development, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 22d, eliminating from within an existing R5 District a C2-3 District and changing from an R5 District to an C4-4L District, Borough of Brooklyn, Community District 12, Council District 44."
T2022-2298,,Oversight,Filed,Committee on Higher Education,,0,Oversight - Accommodations for College Students with Disabilities.
T2022-2297,,Oversight,Filed,"Committee on Mental Health, Disabilities and Addiction",,0,Oversight - Accommodations for College Students with Disabilities.
T2022-2294,,Oversight,Filed,Committee on Hospitals,,0,Oversight - COVID-19 in NYC: Evaluating the Present Challenges.
LU 0138-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number N 220430 ZRK (Livonia4) submitted by the New York City Department of Housing Preservation and Development (HPD), pursuant to Section 201 of the New York City Charter for an amendment to the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Brooklyn, Community District 16, Council District 42."
LU 0137-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number C 220429 ZMK (Livonia4) submitted by the New York City Department of Housing Preservation and Development (HPD), pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section Nos. 17b and 17d, changing an R6 District to an R7-2 District and establishing within a proposed R7-2 District a C2-4 District, Borough of Brooklyn, Community District 16, Council District 42."
LU 0136-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application Number C 220428 HUK (Livonia4) submitted by the New York City Department of Housing Preservation and Development (HPD), pursuant to Section 505 of Article 15 of the New York State General Municipal Law (Urban Renewal) and Section 197-c of the New York City Charter, for the fourth amendment to the Brownsville II Urban Renewal Plan, Borough of Brooklyn, Community District 16, Council District 42."
