File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
LU 0299-2023,,Land Use Application,Adopted,Committee on Land Use,Justin L. Brannan,1,"Aulder Preservation Portfolio: Block 2032, Lots 5, 6, 7, 8, and 9; Block 2045, Lot 37; Block 2133, Lots 10 and 13; Manhattan; Community District No. 10 and 12; Council District No. 9 and 10."
LU 0298-2023,,Land Use Application,Adopted,Committee on Land Use,Justin L. Brannan,1,"Sojourner Truth: Block 1841, Lot 1, Block 1863, Lot 29; Manhattan; Community District No. 7; Council District No. 7."
Res 0880-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 220392 ZRR, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 297)."
Res 0879-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 220426 ZMR, a Zoning Map amendment (Preconsidered L.U. No. 296)."
Res 0878-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the site plan for a new, approximately 696-Seat Primary School Facility, located at Block 5145, Lot 90, Community District 7, Borough of Queens (Non-ULURP No. G 230042 SCQ; L.U. No. 295)."
Res 0877-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the site plan for a new, approximately 676-Seat High School Facility including D75 Special Education, located at Block 5873, Lots 73 and 77, Community District 10, Borough of Brooklyn (Non-ULURP No. G 230041 SCK; L.U. No. 294)."
Res 0876-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving an Urban Development Action Area Project and waiving the urban development action area designation requirement and the Uniform Land Use Review Procedure pursuant to Article 16 of the General Municipal Law, and approving a real property tax exemption pursuant to Article XI of the Private Housing Finance Law for property located at 150 West 121st Street (Block 1905, Lot 155), 204 West 120th Street (Block 1925, Lot 38), 271 West 126th Street (Block 1932, Lot 1), and 305 West 126th Street (Block 1953, Lot 27), Borough of Manhattan, Community District 10 (Preconsidered L.U. No."
Res 0875-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,Resolution approving a tax exemption pursuant to Article XI of the Private Housing Finance Law (L.U. No. 292; Non-ULURP No. G 230040 XAK).
Res 0874-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,Resolution approving a tax exemption pursuant to Article XI of the Private Housing Finance Law (L.U. No. 283; Non-ULURP No. G 230038 XAK).
Res 0873-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving an Urban Development Action Area Project pursuant to Article 16 of the General Municipal Law for property located at Block 4009, Lot 47; Block 4010, Lot 6; Block 4030, Lots 19 and 20; Block 4072, Lots 25 and 27; Block 4074, Lot 39; Block 4076, Lot 25; Block 4078, Lot 11; and Block 4083, Lot 146, Borough of Brooklyn; and waiving the urban development action area designation requirement and the Uniform Land Use Review Procedure, Community District 5, Borough of Brooklyn (L.U. No. 282; G 230037 NUK)."
Res 0872-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving an Urban Development Action Area Project and waiving the urban development action area designation requirement and the Uniform Land Use Review Procedure pursuant to Article 16 of the General Municipal Law, and approving a real property tax exemption pursuant to Article XI of the Private Housing Finance Law for property located at 536-38 West 136th Street (Block 1988, Lot 131), 506 West 135th Street (Block 1988, Lot 40), and 507 West 138th Street (Block 2070, Lot 26), Borough of Manhattan, Community District 9 (L.U. No. 281; G 230036 XAM)."
Res 0863-2023,,Resolution,Adopted,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Adrienne E. Adams,9,Resolution condemning recent attacks on members of the Sikh community in the City of New York and seeking a swift end to any discrimination against Sikh New Yorkers.
Res 0857-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an additional period of exemption from real property taxes for property located at (Block 1613, Lot 6) Manhattan, pursuant to Section 125(1)(a-3) of the Private Housing Finance Law (Preconsidered L.U. No. 291)."
Res 0856-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2114, Lot 70; Block 2132, Lot 30), Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 290)."
Res 0855-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an additional period of exemption from real property taxes for property located at (Block 2407, Lots 12, 14, 15, 17; Block 2408, Lots 7, 12, 14, 37, 38, 40; Block 2420, Lots 5, 43) Brooklyn, pursuant to Section 125(1)(a-3) of the Private Housing Finance Law (Preconsidered L.U. No. 289)."
Res 0854-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 3237, Lot 23), Brooklyn, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 288)."
M 0181-2023,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Comptroller – Submitting the projection of the City’s debt-incurring power for Fiscal Years 2024-2027, pursuant to Section 232 of the New York City Char"
Res 0852-2023,,Resolution,Filed (End of Session),Committee on Public Safety,Keith Powers,3,"Resolution calling on the State Legislature to pass, and the Governor to sign S7737/A8261, also known as The Hate Crimes Modernization Act."
Res 0849-2023,,Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Farah N. Louis,5,Resolution designating December 4 annually as Jay-Z Day in the City of New York and celebrating his legendary status as a masterful MC and lyricist and as an innovative entrepreneur.
Res 0853-2023,,Resolution,Filed (End of Session),Committee on Sanitation and Solid Waste Management,Marjorie Velázque,4,"Resolution calling on the New York State legislature to pass, and the Governor to sign, A.5554, which would prohibit use of single-use plastics in state parks, A.6990/S.2981, which would prohibit the sale or manufacture of certain single-use plastic water bottles and single-use plastic beverage containers, and S.7345, which would enact the NY Plastic Free Act."
Res 0851-2023,,Resolution,Filed (End of Session),Committee on Governmental Operations,Julie Menin,6,Resolution calling on the Federal Election Commission to prohibit political candidates from using deceptive artificial intelligence in campaign communications.
Int 1257-2023,,Introduction,Filed (End of Session),Committee on Health,Amanda Faría,4,"A Local Law to amend the administrative code of the city of New York, in relation to requiring a training program for first responders and an awareness campaign regarding domestic violence-related traumatic brain injuries"
Int 1256-2023,,Introduction,Filed (End of Session),Committee on Health,Amanda Faría,5,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the establishment of a municipal human milk bank"
Int 1274-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Kalman Yeger,1,"A Local Law to amend the administrative code of the city of New York, in relation to expanding notice requirements and requiring a comment period prior to the installation of a neighborhood loading zone"
Int 1260-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Robert F. Holden,4,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the parking, standing, stopping, or operation of a motor vehicle with obscured or defaced license plates"
Int 1259-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Robert F. Holden,1,"A Local Law to amend the administrative code of New York, in relation to requiring bicyclists to wear protective headgear"
Int 1271-2023,,Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Sandra Ung,1,"A Local Law to amend the administrative code of the city of New York, in relation to banning the use of commercial char broilers on or in connection with mobile food vending units"
Res 0850-2023,,Resolution,Filed (End of Session),Committee on Immigration,Julie Menin,5,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, A.7493, establishing a coordinator for asylum seeker services."
Int 1252-2023,,Introduction,Filed (End of Session),Committee on Criminal Justice,Tiffany Cabá,5,"A Local Law in relation to extending the minimum duration of and updating other requirements pertaining to the task force created to address policies related to the treatment and housing of transgender, gender nonconforming, non-binary, and intersex individuals in the custody of the department of correction"
Int 1254-2023,,Introduction,Filed (End of Session),Committee on Economic Development,Amanda Faría,4,"A Local Law to amend the administrative code of the city of New York, in relation to restricting non-essential helicopter operations at city heliports to helicopters powered fully by electric engines"
Int 1265-2023,,Introduction,Filed (End of Session),Committee on Public Safety,Mercedes Narcisse,2,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a mandatory mental health emergency response training for all uniformed members of the police department whose responsibilities include routinely interacting with arrested individuals and victims of crime"
Int 1267-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Vickie Paladino,4,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the operation of electric scooters and bicycles with electric assist in parks"
Int 1269-2023,,Introduction,Filed (End of Session),"Committee on Mental Health, Disabilities and Addiction",Kevin C. Riley,7,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of health and mental hygiene to create pamphlets identifying mental health resources available to individuals experiencing pregnancy loss"
Res 0848-2023,,Resolution,Filed (End of Session),Committee on Governmental Operations,Amanda Faría,3,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, legislation amending the Public Officers Law to allow non-citizens to hold civil offices."
Int 1273-2023,,Introduction,Filed (End of Session),Committee on Contracts,Inna Vernikov,5,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a public database to track the expenditure of funds in connection with increased migrant arrivals"
Res 0847-2023,,Resolution,Filed (End of Session),Committee on Health,Justin L. Brannan,9,"Resolution calling on Congress and the President to stop attacks on animal welfare laws by opposing H.R.4417/S.2019, the Ending Agricultural Trade Suppression (EATS) Act."
Int 1266-2023,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Vickie Paladino,1,"A Local Law to amend the administrative code of the city of New York, in relation to temporarily exempting certain covered buildings from building emissions limits and studying the impact of such limits on such buildings and on the electrical distribution grid"
Int 1268-2023,,Introduction,Filed (End of Session),Committee on Small Business,Public Advocate Jumaane Williams,20,"A Local Law to amend the New York city charter, in relation to creating a division within the department of small business services to assist street vendors and requiring the commissioner of small business services to update the department’s programs to facilitate street vendor acce"
Int 1258-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Amanda Faría,4,"A Local Law to amend the administrative code of the city of New York, in relation to the installation of electric vehicle charging equipment on lampposts"
Int 1255-2023,,Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Amanda Faría,4,"A Local Law to amend the administrative code of the city of New York, in relation to monitoring helicopter noise"
Int 1262-2023,,Introduction,Filed (End of Session),Committee on Contracts,Crystal Hudson,4,"A Local Law to amend the administrative code of the city of New York, in relation to indirect costs of nonprofit city service contractors"
Int 1251-2023,,Introduction,Filed (End of Session),Committee on Economic Development,Selvena N. Brooks-Powers,3,A Local Law in relation to requiring regular reports on the redevelopment plans at John F. Kennedy International Airport
Int 1272-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Sandra Ung,1,"A Local Law to amend the administrative code of the city of New York, in relation to department of transportation approval prior to issuing or renewing a stoop line stand license"
Int 1270-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Pierina Ana Sanchez,19,"A Local Law to amend the administrative code of the city of New York, in relation to ensuring business licensing and regulatory compliance of all mobile food and general vendors."
Int 1263-2023,,Introduction,Filed (End of Session),Committee on Sanitation and Solid Waste Management,Crystal Hudson,4,A Local Law in relation to requiring the commissioner of sanitation to study the feasibility and potential environmental effects of a recycling mandate for household textiles
Int 1261-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Crystal Hudson,1,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a residential parking permit system in Northwestern Brooklyn"
Int 1264-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Shekar Krishnan,20,"A Local Law to amend the administrative code of the city of New York, in relation to repealing the misdemeanor criminal penalties for general vendors and mobile food vendors"
Int 1253-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Carmen N. De La Rosa,19,"A Local Law to amend the administrative code of the city of New York, in relation to permitting street vendors to vend within two feet from the curb"
T2023-4359,,Oversight,Filed,Committee on Economic Development,,0,Oversight - The Role of Small Businesses in Shelter Food Procurement.
LU 0295-2023,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number G 230042 SCQ (New 696-Seat Primary School Facility) submitted by the New York City School Construction Authority, pursuant to Section 1732 of the New York School Construction Authority Act, concerning the proposed site selection for a new, approximately 696-Seat Primary School facility, located at Block 5145, Lot 90, Borough of Queens, Community District 7, Council District 20, Community School District 25."
LU 0294-2023,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number G 230041 SCK (New 676-Seat High School Facility) submitted by the New York City School Construction Authority, pursuant to Section 1732 of the New York School Construction Authority Act, concerning the proposed site selection for a new, approximately 676-Seat High School facility including D75 Special Education, located at Block 5873, Lots 73 and 77, Borough of Brooklyn, Community District 10, Council District 43, Community School District 20."
LU 0293-2023,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number G 230039 XAM (West 120-126th Street Cluster) submitted by the New York City Department of Housing Preservation and Development (HPD), pursuant to Article 16 of the General Municipal Law and Article XI of the Private Housing Finance Law, requesting approval of an Urban Development Action Area Project, waiver of the designation requirement of Section 693 of the General Municipal Law and waiver of the requirements of Charter Sections 197 c and 197-d, and approval of an exemption from real property taxation for properties located at 150 West 121st Street (Block 1905, Lot 155), 2"
LU 0292-2023,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number G 230040 XAK (New Penn Article XI) submitted by the New York City Department of Housing Preservation and Development, pursuant to Section 577 of Article XI of the Private Housing Finance Law for the approval of an exemption from real property taxation for property located at Block 3583, Lot 27; Block 3602, Lot 44; Block 3754, Lot 31; Block 3767, Lot 5; Block 3773, Lot 56; Block 3774, Lot 138; Block 3790, Lot 49; Block 3791, Lot 25 and 28; Block 3833, Lot 47, Borough of Brooklyn, Community Districts 5 and 16, Council District 42."
T2023-4343,,Oversight,Filed,Committee on Small Business,,0,Oversight - The Role of Small Businesses in Shelter Food Procurement.
T2023-4342,,Oversight,Filed,Committee on Contracts,,0,Oversight - The Role of Small Businesses in Shelter Food Procurement.
T2023-4340,,Oversight,Filed,Committee on Housing and Buildings,,0,Oversight - Supportive Housing in New York City.
LU 0291-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Villa Hermosa: Block 1613, Lot 6, Manhattan, Community District 11, Council District No. 9."
LU 0290-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"MHANY Stella Heights LLC.PLP.FY24: Block 2114, Lot 70; Block 2132, Lot 30, Manhattan, Community District 12, Council Districts No. 7 and 10."
LU 0289-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Sumet I: Block 2407, Lots 12, 14, 15, and 17; Block 2408, Lots 7, 12, 14, 37, 38, and 40; Block 2420, Lots 5 and 43, Brooklyn, Community District 1, Council District No. 34."
LU 0288-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"1601 DeKalb: Block 3237, Lot 23, Brooklyn, Community District 4, Council District No. 37."
Res 0864-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
T2023-4330,,Oversight,Filed,Committee on Aging,,0,Oversight - Older Adult Workforce Programs.
T2023-4328,,Oversight,Filed,Committee on Transportation and Infrastructure,,0,Oversight - DOT Transparency and Notice Requirements.
T2023-4326,,Oversight,Filed,Committee on Finance,,0,Oversight – Mayor’s November Financial P
T2023-4325,,Oversight,Filed,Committee on Consumer and Worker Protection,,0,Oversight - Street Vending in NYC.
LU 0297-2023,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220392 ZRR (541-545 Bay Street) submitted by Epsilon Enterprises Realty, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Article XIII, Chapter 5 (Special Bay Street Corridor District) to create a new Subdistrict and APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Staten Island, Community District 1, Council District 49."
LU 0296-2023,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220426 ZMR (541-545 Bay Street) submitted by Epsilon Enterprises Realty, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 21c, changing from a C4-2 District to an R6 District, establishing within a proposed R6 District a C2-3 District, and establishing a Special Bay Street Corridor District (BSC), Borough of Staten Island, Community District 1, Council District 49."
Res 0862-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 230011 ZRK, for an amendment of the text of the Zoning Resolution (L.U. No. 285)."
Res 0861-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 230010 ZMK, a Zoning Map amendment (L.U. No. 284)."
Res 0860-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 220439 ZRK, for an amendment of the text of the Zoning Resolution (L.U. No. 279)."
Res 0859-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 220438 ZMK, a Zoning Map amendment (L.U. No. 278)."
Res 0858-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 230113 ZRY, for an amendment of the text of the Zoning Resolution (L.U. No. 277)."
T2023-4311,,Oversight,Filed,"Committee on Environmental Protection, Resiliency and Waterfronts",,0,Oversight - The City's Obligation to Reduce Carbon Emissions from Government Operations.
T2023-4258,,Oversight,Filed,Committee on General Welfare,,0,Oversight - Preventative Services for At-Risk and Justice Involved Youth.
T2023-4289,,Oversight,Filed,Committee on Civil Service and Labor,,0,Oversight - DCAS Professional Development Trainings.
T2023-4257,,Oversight,Filed,Committee on Youth Services,,0,Oversight - Preventative Services for At-Risk and Justice Involved Youth.
T2023-4302,,Oversight,Filed,Committee on Technology,,0,Oversight - NYPD’s Implementation of the Public Oversight of Surveillance Technology (POST) Ac
T2023-4301,,Oversight,Filed,Committee on Public Safety,,0,Oversight - NYPD’s Implementation of the Public Oversight of Surveillance Technology (POST) Ac
Res 0846-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2035, Lot 1), Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 287)."
Res 0845-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2940, Lots 1, 6, and 72), Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 286)."
Int 1250-2023,,Introduction,Filed (End of Session),Committee on Health,Mercedes Narcisse,4,"A Local Law to amend the New York city charter, in relation to establishing an office of organ transplant equity within the department of health and mental hygiene"
Res 0844-2023,,Resolution,Filed (End of Session),Committee on General Welfare,Gale A. Brewer,2,"Resolution calling on Congress to pass, and the President to sign, a renewed Farm Bill that increases funding for life-saving food aid."
T2023-4285,,Oversight,Filed,Committee on Criminal Justice,,0,Oversight - Alternatives to Detention and Incarceration in New York City.
T2023-4276,,Oversight,Filed,Committee on Aging,,0,"Oversight - Doors, Locks and Lights: the Infrastructure of Resident Safety at NYCHA."
T2023-4275,,Oversight,Filed,Committee on Public Housing,,0,"Oversight - Doors, Locks and Lights: the Infrastructure of Resident Safety at NYCHA."
T2023-4268,,Oversight,Filed,"Committee on Mental Health, Disabilities and Addiction",,0,Oversight - After School Program Support for Youth with Disabilities.
T2023-4267,,Oversight,Filed,Committee on Youth Services,,0,Oversight - After School Program Support for Youth with Disabilities.
T2023-4270,,Oversight,Filed,Committee on Higher Education,,0,Oversight - CUNY Reconnect.
M 0180-2023,,Communication,"Received, Ordered, Printed and Filed",Committee on Finance,,0,Communication from the Department of Education and School Construction Authority - Submitting Proposed Five-Year Capital Plan FY 2025–202
Int 1249-2023,,Introduction,Filed (End of Session),"Committee on Mental Health, Disabilities and Addiction",Marjorie Velázque,7,"A Local Law to amend the administrative code of the city of New York, in relation to permitting disabled residents to obtain a marking on their IDNYC card to serve as proof of disability"
Int 1242-2023,,Introduction,Filed (End of Session),Committee on Education,Mercedes Narcisse,8,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the New York city department of education to report the number of students reported to the office of school health as having a diagnosis of sickle cell disease or trait"
Res 0840-2023,,Resolution,Filed (End of Session),Committee on Veterans,Vickie Paladino,18,Resolution calling on the New York City Department of Education to observe Veterans Day the Friday before November 11th if it falls on a Saturday and the Monday after the 11th if it falls on a Sunday.
Int 1248-2023,,Introduction,Filed (End of Session),Committee on Health,Lynn C. Schulman,7,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of health and mental hygiene to develop a healthy nyc population health agenda"
Res 0838-2023,,Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Julie Menin,8,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, A.2146/S.4502 to establish an educational program related to the prevention of antisemitism, Islamophobia bias, and discrimination based on religion, race, sexual orientation, or gender identity or expression."
Int 1243-2023,,Introduction,Filed (End of Session),Committee on Public Safety,Keith Powers,22,"A Local Law to amend the administrative code of the city of New York, in relation to amending the nuisance abatement law regarding the sale or delivery of cannabis"
Int 1245-2023,,Introduction,Filed (End of Session),Committee on Parks and Recreation,Kevin C. Riley,8,A Local Law in relation to a plan to identify and facilitate the use of indoor facilities for basketball games
Res 0839-2023,,Resolution,Filed (End of Session),Committee on Health,Julie Menin,3,"Resolution calling on Congress to pass, and the President to sign, H.R.3561, the PATIENT Act of 2023."
Int 1246-2023,,Introduction,Filed (End of Session),Committee on Small Business,Kevin C. Riley,4,"A Local Law in relation to establishing a pilot program to match small businesses with social media content creators for assistance with marketing and advertising, and providing for the repeal of such provisions upon the expiration thereof"
Int 1247-2023,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Pierina Ana Sanchez,9,"A Local Law to amend the administrative code of the city of New York and the fuel gas code in relation to periodic inspections of gas piping systems, ordinary plumbing work, reestablishing the plumbing and fire suppression piping contractor license board, piping systems, emergency work, fire suppression piping work, and seizure"
Int 1240-2023,,Introduction,Filed (End of Session),Committee on Aging,Linda Lee,9,"A Local Law to amend the administrative code of the city of New York, in relation to requiring home-delivered meals be delivered each day of the calendar year."
Int 1236-2023,,Introduction,Filed (End of Session),Committee on Civil Service and Labor,Carmen N. De La Rosa,17,"A Local Law to amend the administrative code of the city of New York, in relation to the establishment of community hiring and compensation standards for city assisted housing development projects"
Res 0837-2023,,Resolution,Adopted,Committee on Veterans,Robert F. Holden,14,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, S.4717/A.3149, to authorize the New York State Department of Veterans' Services to provide eligible veterans with financial assistance for purchasing, training, and the upkeep of service dogs and emotional support dogs."
Res 0835-2023,,Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",David M. Carr,2,Resolution recognizing April 17 annually as Giovanni da Verrazzano Day in the City of New York.
